epoch,loss
1,-12.581261654131875
2,-12.953398431355792
3,-13.38448515393239
4,-13.744962914864342
5,-14.062627637223304
6,-14.32414447501094
7,-14.52034864404806
8,-14.686028908794803
9,-14.83209872404402
10,-14.949759302230124
11,-15.053039832421488
12,-15.142778375398693
13,-15.224502542046476
14,-15.306993380896433
15,-15.369484202122063
16,-15.430933961403191
17,-15.483147882160544
18,-15.533618435172704
19,-15.578381966911557
20,-15.619990401297065
21,-15.658737130086205
22,-15.69438909006998
23,-15.726541002235196
24,-15.758045243941623
25,-15.792290888371518
26,-15.826261430874574
27,-15.85913193660011
28,-15.890527314846025
29,-15.92010463610376
30,-15.953581476740473
31,-15.985596782597453
32,-16.014579103766927
33,-16.042995922869128
34,-16.06923781677742
35,-16.09462343955691
36,-16.11990000920537
37,-16.14407143482964
38,-16.165979398052837
39,-16.188424231867764
40,-16.20767573867579
41,-16.228009965835952
42,-16.248341314843675
43,-16.26724219427846
44,-16.284359454410374
45,-16.300513839190035
46,-16.31654993833102
47,-16.331661891536633
48,-16.345510269459073
49,-16.360762245909203
50,-16.37403341901188
51,-16.384968391039536
52,-16.39741258004107
53,-16.408912966281882
54,-16.420960167843866
55,-16.43229407939041
56,-16.44284644892963
57,-16.453536366996474
58,-16.465375341670853
59,-16.474143258104053
60,-16.48312983776871
61,-16.492476597986876
62,-16.5011763287274
63,-16.509821001269138
64,-16.519697320730174
65,-16.528154342439404
66,-16.536096538177496
67,-16.544270217156747
68,-16.551695115833674
69,-16.55829568497754
70,-16.564713187496316
71,-16.571617806474514
72,-16.57773999365452
73,-16.583252879132978
74,-16.590267325894686
75,-16.596858941118338
76,-16.603203611846286
77,-16.610330750350816
78,-16.6166526189645
79,-16.621457218597072
80,-16.627979625190072
81,-16.633652449757893
82,-16.63889273860023
83,-16.64443617772919
84,-16.64943540160967
85,-16.655038961424495
86,-16.658293881202653
87,-16.663437312017624
88,-16.6683342902807
89,-16.673949570214628
90,-16.678142402789376
91,-16.682444879742576
92,-16.686596981566844
93,-16.69061339805016
94,-16.693407395305396
95,-16.69812289989894
96,-16.70226852581078
97,-16.706618123584406
98,-16.710780899672287
99,-16.71391565941844
100,-16.718098806593808
101,-16.721605117096214
102,-16.724234711920516
103,-16.72767624652806
104,-16.731607534744274
105,-16.734719901739165
106,-16.738474561969433
107,-16.741871277881557
108,-16.744585291849404
109,-16.74795954592286
110,-16.75161643610597
111,-16.754695457680665
112,-16.75690124342719
113,-16.75923446676333
114,-16.762731205870534
115,-16.765516142962234
116,-16.768070617905487
117,-16.77056288118288
118,-16.773455935857132
119,-16.776023846039593
120,-16.779397249422658
121,-16.78241862987483
122,-16.785916766007926
123,-16.789186465928186
124,-16.791795461880948
125,-16.79435649369201
126,-16.79643514745586
127,-16.799184872112995
128,-16.801357753818543
129,-16.803535287338548
130,-16.80605374744306
131,-16.808415646640917
132,-16.810306431753244
133,-16.81265918234153
134,-16.814406795859327
135,-16.816848654821992
136,-16.819364066549028
137,-16.821038607549184
138,-16.823070443996077
139,-16.824910733323946
140,-16.827165001736315
141,-16.829470102886997
142,-16.83127927309066
143,-16.832740134875426
144,-16.834166270161234
145,-16.836246003592482
146,-16.83786374832952
147,-16.83943046514596
148,-16.840491707939893
149,-16.84114619147398
150,-16.84300678444763
151,-16.844255026932895
152,-16.845303857745858
153,-16.846940366508797
154,-16.848339713433457
155,-16.84987042995549
156,-16.85145601970819
157,-16.85247837068691
158,-16.85420277546769
159,-16.855582552440637
160,-16.85692729644193
161,-16.858049833553054
162,-16.85909843671719
163,-16.860327031717123
164,-16.86130767030874
165,-16.862459196769894
166,-16.863877876253373
167,-16.864630589238867
168,-16.86629183099124
169,-16.86765044557626
170,-16.869211874251683
171,-16.8703812963939
172,-16.871581389537155
173,-16.873063417991812
174,-16.87454288583671
175,-16.875638033488723
176,-16.877065184403833
177,-16.878385244255774
178,-16.879978980034394
179,-16.881095865731513
180,-16.88210543343039
181,-16.88321386477763
182,-16.884957417049712
183,-16.886024662936318
184,-16.886696144354097
185,-16.887589190139266
186,-16.88873542836957
187,-16.890010387381732
188,-16.891125703560192
189,-16.89217813234534
190,-16.892984635353518
191,-16.89399002280555
192,-16.89517917271012
193,-16.896186857494694
194,-16.89730528459782
195,-16.898003520991935
196,-16.898731566008944
197,-16.899825488343588
198,-16.900689996380382
199,-16.90155730834073
200,-16.902727794126474
201,-16.903607459747825
202,-16.904448490193083
203,-16.9051390056865
204,-16.906433226982724
205,-16.907429003901694
206,-16.908547071019857
207,-16.909714199198095
208,-16.910617640722407
209,-16.91132391281007
210,-16.912092371232312
211,-16.912952727308884
212,-16.91441155799742
213,-16.915626712217502
214,-16.916411675542438
215,-16.917138627170353
216,-16.918177358635173
217,-16.91904337450381
218,-16.91972741797815
219,-16.920782134219078
220,-16.921599370620715
221,-16.922389875337352
222,-16.923005723740207
223,-16.92363433546108
224,-16.924580527847446
225,-16.92527182045015
226,-16.92609603317697
227,-16.926858615910724
228,-16.927729564756905
229,-16.92880582930011
230,-16.929162673758647
231,-16.9296235599921
232,-16.93006219057331
233,-16.930924023807165
234,-16.931672738435225
235,-16.93266442370187
236,-16.93378931966424
237,-16.93461330555481
238,-16.935067175994448
239,-16.935593014555415
240,-16.936391614366297
241,-16.93706769939768
242,-16.93750304821708
243,-16.93824922781559
244,-16.93907215569093
245,-16.93991209234275
246,-16.940599373918477
247,-16.941473836586695
248,-16.942089864942762
249,-16.942856384764625
250,-16.94344855556744
